"word"	"complex_word"	"folio"	"section"	"quire"	"panel"	"language"	"hand"	"misc"	"d.hand"	"placement"	"line_number"	"transcriber"	"line_initial"	"line_final"	"par_initial"	"par_final"
"dchey"	"dchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	1	8	NA	NA
"keeod"	"keeod"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	2	7	NA	NA
"sho"	"sho"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	3	6	NA	NA
"tchey"	"tchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	4	5	NA	NA
"chol"	"chol"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	5	4	NA	NA
"oty"	"oty"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	6	3	NA	NA
"chy"	"chy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	7	2	NA	NA
"tolm"	"tolm"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"F"	8	1	NA	NA
"dchey"	"dchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	1	7	NA	NA
"keeod"	"keeod"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	2	6	NA	NA
"shotchey"	"shotchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	3	5	NA	NA
"chol"	"chol"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	4	4	NA	NA
"oty"	"oty"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	5	3	NA	NA
"chy"	"chy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	6	2	NA	NA
"tolm"	"tolm"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"9"	"U"	7	1	NA	NA
"qotchey"	"qotchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	1	7	25	18
"shes"	"shes"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	2	6	26	17
"s"	"s"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	3	5	27	16
"y"	"y"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	4	4	28	15
"chy"	"chy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	5	3	29	14
"tchey"	"tchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	6	2	30	13
"dy"	"dy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"H"	7	1	31	12
"qotchey"	"qotchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"C"	1	6	NA	NA
"shes"	"shes"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"C"	2	5	NA	NA
"sy"	"sy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"C"	3	4	NA	NA
"chy"	"chy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"C"	4	3	NA	NA
"tchey"	"tchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"C"	5	2	NA	NA
"dy"	"dy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"C"	6	1	NA	NA
"qotchey"	"qotchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"F"	1	6	NA	NA
"shes"	"shes"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"F"	2	5	NA	NA
"sy"	"sy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"F"	3	4	NA	NA
"chy"	"chy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"F"	4	3	NA	NA
"tchey"	"tchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"F"	5	2	NA	NA
"dy"	"dy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"F"	6	1	NA	NA
"qotchey"	"qotchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	1	7	NA	NA
"shes"	"shes"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	2	6	NA	NA
"s"	"s"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	3	5	NA	NA
"y"	"y"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	4	4	NA	NA
"chy"	"chy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	5	3	NA	NA
"tchey"	"tchey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	6	2	NA	NA
"dy"	"dy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"10"	"U"	7	1	NA	NA
"chol"	"chol"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"H"	1	6	32	11
"daiiin"	"daiiin"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"H"	2	5	33	10
"chees"	"chees"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"H"	3	4	34	9
"chos"	"chos"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"H"	4	3	35	8
"ctey"	"ctey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"H"	5	2	36	7
"dan"	"dan"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"H"	6	1	37	6
"chol"	"chol"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"F"	1	6	NA	NA
"daiiin"	"daiiin"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"F"	2	5	NA	NA
"chees"	"chees"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"F"	3	4	NA	NA
"chos"	"chos"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"F"	4	3	NA	NA
"cthy"	"cthy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"F"	5	2	NA	NA
"dan"	"dan"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"F"	6	1	NA	NA
"chol"	"chol"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"U"	1	6	NA	NA
"daiiin"	"daiiin"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"U"	2	5	NA	NA
"chees"	"chees"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"U"	3	4	NA	NA
"chos"	"chos"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"U"	4	3	NA	NA
"cthy"	"cthy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"U"	5	2	NA	NA
"dan"	"dan"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12"	"U"	6	1	NA	NA
"dain"	"dain"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"H"	1	5	38	5
"cheokeey"	"cheokeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"H"	2	4	39	4
"chey"	"chey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"H"	3	3	40	3
"cthey"	"cthey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"H"	4	2	41	2
"otal"	"otal"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"H"	5	1	42	1
"dain"	"dain"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"C"	1	5	NA	NA
"cheokeey"	"cheokeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"C"	2	4	NA	NA
"chey"	"chey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"C"	3	3	NA	NA
"cthey"	"cthey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"C"	4	2	NA	NA
"otal"	"otal"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"C"	5	1	NA	NA
"dain"	"dain"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"F"	1	5	NA	NA
"cheokeey"	"cheokeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"F"	2	4	NA	NA
"chey"	"chey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"F"	3	3	NA	NA
"cthey"	"cthey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"F"	4	2	NA	NA
"otal"	"otal"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"F"	5	1	NA	NA
"dain"	"dain"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"U"	1	5	NA	NA
"cheokeey"	"cheokeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"U"	2	4	NA	NA
"chey"	"chey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"U"	3	3	NA	NA
"cthey"	"cthey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"U"	4	2	NA	NA
"otal"	"otal"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"P"	"12a"	"U"	5	1	NA	NA
"okchodeey"	"okchodeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"T"	"13"	"H"	1	1	1	1
"otchodeey"	"otchodeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"T"	"13"	"C"	1	1	NA	NA
"otchodeey"	"otchodeey"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"T"	"13"	"F"	1	1	NA	NA
"otchodchy"	"otchodchy"	"f27r"	"H"	"D"	"E"	"A"	"1"	NA	"1"	"T"	"13"	"U"	1	1	NA	NA
"fochof"	"fochof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	1	9	1	58
"chof"	"chof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	2	8	2	57
"cho"	"cho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	3	7	3	56
"sho"	"sho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	4	6	4	55
"soly"	"soly"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	5	5	5	54
"shol"	"shol"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	6	4	6	53
"ytchor"	"ytchor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	7	3	7	52
"ofchory"	"ofchory"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	8	2	8	51
"kchorchor"	"kchorchor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"H"	9	1	9	50
"ochof"	"ochof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	1	10	NA	NA
"chof"	"chof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	2	9	NA	NA
"cho"	"cho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	3	8	NA	NA
"sho"	"sho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	4	7	NA	NA
"sholy"	"sholy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	5	6	NA	NA
"shol"	"shol"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	6	5	NA	NA
"ytchail"	"ytchail"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	7	4	NA	NA
"opchory"	"opchory"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	8	3	NA	NA
"kchor"	"kchor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	9	2	NA	NA
"chor"	"chor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"C"	10	1	NA	NA
"fochof"	"fochof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	1	9	NA	NA
"chof"	"chof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	2	8	NA	NA
"chosho"	"chosho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	3	7	NA	NA
"soly"	"soly"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	4	6	NA	NA
"shol"	"shol"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	5	5	NA	NA
"ytchor"	"ytchor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	6	4	NA	NA
"opchory"	"opchory"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	7	3	NA	NA
"kchor"	"kchor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	8	2	NA	NA
"chor"	"chor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"F"	9	1	NA	NA
"fochof"	"fochof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	1	9	NA	NA
"chof"	"chof"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	2	8	NA	NA
"chosho"	"chosho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	3	7	NA	NA
"soly"	"soly"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	4	6	NA	NA
"shol"	"shol"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	5	5	NA	NA
"ytchar"	"ytchar"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	6	4	NA	NA
"opchory"	"opchory"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	7	3	NA	NA
"kchor"	"kchor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	8	2	NA	NA
"chor"	"chor"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"1"	"U"	9	1	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	1	12	10	49
"chkar"	"chkar"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	2	11	11	48
"otchy"	"otchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	3	10	12	47
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	4	9	13	46
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	5	8	14	45
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	6	7	15	44
"dshy"	"dshy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	7	6	16	43
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	8	5	17	42
"cheo"	"cheo"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	9	4	18	41
"da"	"da"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	10	3	19	40
"dy"	"dy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	11	2	20	39
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"H"	12	1	21	38
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	1	11	NA	NA
"chkar"	"chkar"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	2	10	NA	NA
"otchy"	"otchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	3	9	NA	NA
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	4	8	NA	NA
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	5	7	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	6	6	NA	NA
"dshy"	"dshy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	7	5	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	8	4	NA	NA
"cheo"	"cheo"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	9	3	NA	NA
"daijy"	"daijy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	10	2	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"C"	11	1	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	1	11	NA	NA
"chkar"	"chkar"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	2	10	NA	NA
"otchy"	"otchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	3	9	NA	NA
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	4	8	NA	NA
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	5	7	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	6	6	NA	NA
"dshy"	"dshy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	7	5	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	8	4	NA	NA
"cheo"	"cheo"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	9	3	NA	NA
"daidy"	"daidy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	10	2	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"F"	11	1	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	1	11	NA	NA
"chkar"	"chkar"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	2	10	NA	NA
"otchy"	"otchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	3	9	NA	NA
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	4	8	NA	NA
"shy"	"shy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	5	7	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	6	6	NA	NA
"dshy"	"dshy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	7	5	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	8	4	NA	NA
"cheo"	"cheo"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	9	3	NA	NA
"daidy"	"daidy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	10	2	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"2"	"U"	11	1	NA	NA
"kchey"	"kchey"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	1	8	22	37
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	2	7	23	36
"dchokchy"	"dchokchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	3	6	24	35
"dsho"	"dsho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	4	5	25	34
"dchir"	"dchir"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	5	4	26	33
"chodchy"	"chodchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	6	3	27	32
"etcheody"	"etcheody"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	7	2	28	31
"shld"	"shld"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"H"	8	1	29	30
"kchey"	"kchey"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	1	10	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	2	9	NA	NA
"dchokchy"	"dchokchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	3	8	NA	NA
"dsho"	"dsho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	4	7	NA	NA
"dchar"	"dchar"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	5	6	NA	NA
"cho"	"cho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	6	5	NA	NA
"dchy"	"dchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	7	4	NA	NA
"etcheody"	"etcheody"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	8	3	NA	NA
"shl"	"shl"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	9	2	NA	NA
"d"	"d"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"C"	10	1	NA	NA
"kchey"	"kchey"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	1	9	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	2	8	NA	NA
"dcho"	"dcho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	3	7	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	4	6	NA	NA
"dsho"	"dsho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	5	5	NA	NA
"dchir"	"dchir"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	6	4	NA	NA
"chodchy"	"chodchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	7	3	NA	NA
"ctheeody"	"ctheeody"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	8	2	NA	NA
"shld"	"shld"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"F"	9	1	NA	NA
"kchey"	"kchey"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	1	8	NA	NA
"kchy"	"kchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	2	7	NA	NA
"dchokchy"	"dchokchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	3	6	NA	NA
"dsho"	"dsho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	4	5	NA	NA
"dchir"	"dchir"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	5	4	NA	NA
"chodchy"	"chodchy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	6	3	NA	NA
"ctcheody"	"ctcheody"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	7	2	NA	NA
"shld"	"shld"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"3"	"U"	8	1	NA	NA
"okcho"	"okcho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	1	9	30	29
"chy"	"chy"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	2	8	31	28
"kcheed"	"kcheed"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	3	7	32	27
"chl"	"chl"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	4	6	33	26
"chol"	"chol"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	5	5	34	25
"kod"	"kod"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	6	4	35	24
"o"	"o"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	7	3	36	23
"oksho"	"oksho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	8	2	37	22
"doeeeesm"	"doeeeesm"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"H"	9	1	38	21
"okcho"	"okcho"	"f27v"	"H"	"D"	"F"	"A"	"1"	NA	"1"	"P"	"4"	"C"	1	11	NA	NA
