AUTOGLOSS REVIEW FILE
========================================================================
Review these auto-generated glosses. Mark any that seem wrong.
Glosses are composed from atom root concepts joined by '-'.

Middle          Count  Confidence  Autogloss                            Existing                 
dc                  1  PLAUSIBLE   mark-adjust                          ---                      
kchod               1  WEAK        heat-adjust-watch-work-mark          ---                      
edp                 1  PLAUSIBLE   cool-mark-pause                      ---                      
erod                1  WEAK        cool-input-work-mark                 ---                      
fcheep              1  PLAUSIBLE   flag-adjust-watch-cool-cool-pause    ---                      
cfhekch             1  PLAUSIBLE   adjust-flag-watch-cool-heat-adjust-watch  ---                      
epchef              1  PLAUSIBLE   cool-pause-adjust-watch-cool-flag    ---                      
ofcht               1  WEAK        work-flag-adjust-watch-transfer      ---                      
ekalch              1  WEAK        cool-heat-yield-frame-adjust-watch   ---                      
oetc                1  WEAK        work-cool-transfer-adjust            ---                      
eolkeepc            1  WEAK        cool-work-frame-heat-cool-cool-pause-adjust  ---                      
dyty                1  SOLID       mark-end-transfer-end                ---                      
dydy                1  SOLID       mark-end-mark-end                    ---                      
keh                 1  LOCKED      heat-cool-watch                      ---                      
eh                  1  LOCKED      cool-watch                           ---                      
odo                 1  WEAK        work-mark-work                       ---                      
ote                 1  WEAK        work-transfer-cool                   ---                      
pdsai               1  PLAUSIBLE   pause-mark-sequence-yield-iterate    ---                      
lteos               1  WEAK        frame-transfer-cool-work-sequence    ---                      
esck                1  PLAUSIBLE   cool-sequence-adjust-heat            ---                      
lor                 1  WEAK        frame-work-input                     ---                      
oyke                1  WEAK        work-end-heat-cool                   ---                      
etcheodch           1  WEAK        cool-transfer-adjust-watch-cool-work-mark-adjust-watch  ---                      
yf                  1  PLAUSIBLE   end-flag                             ---                      
epchx               1  PLAUSIBLE   cool-pause-adjust-watch-diagram      ---                      
eoteo               1  WEAK        cool-work-transfer-cool-work         ---                      
eksheet             1  PLAUSIBLE   cool-heat-sequence-watch-cool-cool-transfer  ---                      
lshedo              1  WEAK        frame-sequence-watch-cool-mark-work  ---                      
locth               1  WEAK        frame-work-adjust-transfer-watch     ---                      
fee                 1  PLAUSIBLE   flag-cool-cool                       ---                      
dyfch               1  PLAUSIBLE   mark-end-flag-adjust-watch           ---                      
epd                 1  PLAUSIBLE   cool-pause-mark                      ---                      
oifh                1  WEAK        work-iterate-flag-watch              ---                      
opdarsh             1  WEAK        work-pause-mark-yield-input-sequence-watch  ---                      
yfch                1  PLAUSIBLE   end-flag-adjust-watch                ---                      
ealk                1  WEAK        cool-yield-frame-heat                ---                      
oepch               1  WEAK        work-cool-pause-adjust-watch         ---                      
ckhef               1  PLAUSIBLE   adjust-heat-watch-cool-flag          ---                      
aiirch              1  WEAK        yield-iterate-iterate-input-adjust-watch  ---                      
eedchs              1  PLAUSIBLE   cool-cool-mark-adjust-watch-sequence  ---                      
eted                1  SOLID       cool-transfer-cool-mark              ---                      
aick                1  PLAUSIBLE   yield-iterate-adjust-heat            ---                      
ocpheod             1  WEAK        work-adjust-pause-watch-cool-work-mark  ---                      
odsh                1  WEAK        work-mark-sequence-watch             ---                      
opchet              1  WEAK        work-pause-adjust-watch-cool-transfer  ---                      
heet                1  SOLID       watch-cool-cool-transfer             ---                      
lm                  1  WEAK        frame-final                          ---                      
olche               1  WEAK        work-frame-adjust-watch-cool         ---                      
oolk                1  WEAK        work-work-frame-heat                 ---                      
efee                1  PLAUSIBLE   cool-flag-cool-cool                  ---                      
cphhe               1  PLAUSIBLE   adjust-pause-watch-watch-cool        ---                      
eedl                1  WEAK        cool-cool-mark-frame                 ---                      
peeed               1  PLAUSIBLE   pause-cool-cool-cool-mark            ---                      
ockho               1  WEAK        work-adjust-heat-watch-work          ---                      
dalos               1  WEAK        mark-yield-frame-work-sequence       ---                      
opalke              1  WEAK        work-pause-yield-frame-heat-cool     ---                      
rio                 1  WEAK        input-iterate-work                   ---                      
edyd                1  SOLID       cool-mark-end-mark                   ---                      
ytsheod             1  WEAK        end-transfer-sequence-watch-cool-work-mark  ---                      
fai                 1  PLAUSIBLE   flag-yield-iterate                   ---                      
dol                 1  WEAK        mark-work-frame                      ---                      
as                  1  PLAUSIBLE   yield-sequence                       ---                      
kard                1  WEAK        heat-yield-input-mark                ---                      
xaloeee             1  WEAK        diagram-yield-frame-work-cool-cool-cool  ---                      
dyd                 1  SOLID       mark-end-mark                        ---                      
eyf                 1  PLAUSIBLE   cool-end-flag                        ---                      
archo               1  WEAK        yield-input-adjust-watch-work        ---                      
yod                 1  WEAK        end-work-mark                        ---                      
eook                1  WEAK        cool-work-work-heat                  ---                      
eekeo               1  WEAK        cool-cool-heat-cool-work             ---                      
ofor                1  WEAK        work-flag-work-input                 ---                      
ckhch               1  PLAUSIBLE   adjust-heat-watch-adjust-watch       ---                      
ctch                1  PLAUSIBLE   adjust-transfer-adjust-watch         ---                      
tcf                 1  PLAUSIBLE   transfer-adjust-flag                 ---                      
cphed               1  PLAUSIBLE   adjust-pause-watch-cool-mark         ---                      
olpchd              1  WEAK        work-frame-pause-adjust-watch-mark   ---                      
cfhe                1  PLAUSIBLE   adjust-flag-watch-cool               ---                      
oekc                1  WEAK        work-cool-heat-adjust                ---                      
ekeo                1  WEAK        cool-heat-cool-work                  ---                      
cta                 1  PLAUSIBLE   adjust-transfer-yield                ---                      
okaii               1  WEAK        work-heat-yield-iterate-iterate      ---                      
fc                  1  PLAUSIBLE   flag-adjust                          ---                      
ax                  1  PLAUSIBLE   yield-diagram                        ---                      
olfosd              1  WEAK        work-frame-flag-work-sequence-mark   ---                      
lcheeek             1  WEAK        frame-adjust-watch-cool-cool-cool-heat  ---                      
esheo               1  WEAK        cool-sequence-watch-cool-work        ---                      
ekeeo               1  WEAK        cool-heat-cool-cool-work             ---                      
ekeef               1  PLAUSIBLE   cool-heat-cool-cool-flag             ---                      
teeod               1  WEAK        transfer-cool-cool-work-mark         ---                      
eoch                1  WEAK        cool-work-adjust-watch               ---                      
ltsho               1  WEAK        frame-transfer-sequence-watch-work   ---                      
sche                1  PLAUSIBLE   sequence-adjust-watch-cool           ---                      
eodof               1  WEAK        cool-work-mark-work-flag             ---                      
oop                 1  WEAK        work-work-pause                      ---                      
rshef               1  WEAK        input-sequence-watch-cool-flag       ---                      
lde                 1  WEAK        frame-mark-cool                      ---                      
okes                1  WEAK        work-heat-cool-sequence              ---                      
edef                1  PLAUSIBLE   cool-mark-cool-flag                  ---                      
ckhhd               1  PLAUSIBLE   adjust-heat-watch-watch-mark         ---                      
sop                 1  WEAK        sequence-work-pause                  ---                      
ekcs                1  PLAUSIBLE   cool-heat-adjust-sequence            ---                      
feed                1  PLAUSIBLE   flag-cool-cool-mark                  ---                      
eosees              1  WEAK        cool-work-sequence-cool-cool-sequence  ---                      
ekeod               1  WEAK        cool-heat-cool-work-mark             ---                      
amo                 1  WEAK        yield-final-work                     ---                      
tar                 1  WEAK        transfer-yield-input                 ---                      
lka                 1  WEAK        frame-heat-yield                     ---                      
eta                 1  SOLID       cool-transfer-yield                  ---                      
oksh                1  WEAK        work-heat-sequence-watch             ---                      
eolo                1  WEAK        cool-work-frame-work                 ---                      
ino                 1  WEAK        iterate-halt-work                    ---                      
tchok               1  WEAK        transfer-adjust-watch-work-heat      ---                      
fs                  1  PLAUSIBLE   flag-sequence                        ---                      
tddy                1  SOLID       transfer-mark-mark-end               ---                      
tedsh               1  PLAUSIBLE   transfer-cool-mark-sequence-watch    ---                      
ckheed              1  PLAUSIBLE   adjust-heat-watch-cool-cool-mark     ---                      
kaloro              1  WEAK        heat-yield-frame-work-input-work     ---                      
kchs                1  PLAUSIBLE   heat-adjust-watch-sequence           ---                      
llaii               1  WEAK        frame-frame-yield-iterate-iterate    ---                      
lalch               1  WEAK        frame-yield-frame-adjust-watch       ---                      
pshe                1  PLAUSIBLE   pause-sequence-watch-cool            ---                      
kchdy               1  PLAUSIBLE   heat-adjust-watch-mark-end           ---                      
leedar              1  WEAK        frame-cool-cool-mark-yield-input     ---                      
opcha               1  WEAK        work-pause-adjust-watch-yield        ---                      
scs                 1  PLAUSIBLE   sequence-adjust-sequence             ---                      
cpc                 1  PLAUSIBLE   adjust-pause-adjust                  ---                      
yte                 1  SOLID       end-transfer-cool                    ---                      
oeke                1  WEAK        work-cool-heat-cool                  ---                      
eeke                1  LOCKED      cool-cool-heat-cool                  ---                      
oshepol             1  WEAK        work-sequence-watch-cool-pause-work-frame  ---                      
loii                1  WEAK        frame-work-iterate-iterate           ---                      
opalsh              1  WEAK        work-pause-yield-frame-sequence-watch  ---                      
ckhyd               1  PLAUSIBLE   adjust-heat-watch-end-mark           ---                      
ork                 1  WEAK        work-input-heat                      ---                      
dylche              1  WEAK        mark-end-frame-adjust-watch-cool     ---                      
sl                  1  WEAK        sequence-frame                       ---                      
lchpsh              1  WEAK        frame-adjust-watch-pause-sequence-watch  ---                      
rchd                1  WEAK        input-adjust-watch-mark              ---                      
olaiino             1  WEAK        work-frame-yield-iterate-iterate-halt-work  ---                      
sor                 1  WEAK        sequence-work-input                  ---                      
rcheed              1  WEAK        input-adjust-watch-cool-cool-mark    ---                      
dolt                1  WEAK        mark-work-frame-transfer             ---                      
kych                1  PLAUSIBLE   heat-end-adjust-watch                ---                      
dr                  1  WEAK        mark-input                           ---                      
dldlo               1  WEAK        mark-frame-mark-frame-work           ---                      
raloik              1  WEAK        input-yield-frame-work-iterate-heat  ---                      
asodlo              1  WEAK        yield-sequence-work-mark-frame-work  ---                      
lkesh               1  WEAK        frame-heat-cool-sequence-watch       ---                      
kedy                1  SOLID       heat-cool-mark-end                   ---                      
echy                1  PLAUSIBLE   cool-adjust-watch-end                ---                      
ao                  1  WEAK        yield-work                           ---                      
ecphh               1  PLAUSIBLE   cool-adjust-pause-watch-watch        ---                      
kched               1  PLAUSIBLE   heat-adjust-watch-cool-mark          ---                      
oa                  1  WEAK        work-yield                           ---                      
ldsh                1  WEAK        frame-mark-sequence-watch            ---                      
oiiin               1  WEAK        work-iterate-iterate-iterate-halt    ---                      
tshs                1  PLAUSIBLE   transfer-sequence-watch-sequence     ---                      
eepsh               1  PLAUSIBLE   cool-cool-pause-sequence-watch       ---                      
yef                 1  PLAUSIBLE   end-cool-flag                        ---                      
polk                1  WEAK        pause-work-frame-heat                ---                      
kechck              1  PLAUSIBLE   heat-cool-adjust-watch-adjust-heat   ---                      
opcheek             1  WEAK        work-pause-adjust-watch-cool-cool-heat  ---                      
hcth                1  PLAUSIBLE   watch-adjust-transfer-watch          ---                      
rolshs              1  WEAK        input-work-frame-sequence-watch-sequence  ---                      
eeyt                1  SOLID       cool-cool-end-transfer               ---                      
efaloi              1  WEAK        cool-flag-yield-frame-work-iterate   ---                      
klch                1  WEAK        heat-frame-adjust-watch              ---                      
ecty                1  PLAUSIBLE   cool-adjust-transfer-end             ---                      
pal                 1  WEAK        pause-yield-frame                    ---                      
tlolk               1  WEAK        transfer-frame-work-frame-heat       ---                      
kop                 1  WEAK        heat-work-pause                      ---                      
poik                1  WEAK        pause-work-iterate-heat              ---                      
ltesh               1  WEAK        frame-transfer-cool-sequence-watch   ---                      
alc                 1  WEAK        yield-frame-adjust                   ---                      
oshe                1  WEAK        work-sequence-watch-cool             ---                      
oshyteed            1  WEAK        work-sequence-watch-end-transfer-cool-cool-mark  ---                      
ylk                 1  WEAK        end-frame-heat                       ---                      
olyd                1  WEAK        work-frame-end-mark                  ---                      
ecs                 1  PLAUSIBLE   cool-adjust-sequence                 ---                      
lshcth              1  WEAK        frame-sequence-watch-adjust-transfer-watch  ---                      
tedyt               1  SOLID       transfer-cool-mark-end-transfer      ---                      
irch                1  WEAK        iterate-input-adjust-watch           ---                      
dched               1  PLAUSIBLE   mark-adjust-watch-cool-mark          ---                      
eckho               1  WEAK        cool-adjust-heat-watch-work          ---                      
sals                1  WEAK        sequence-yield-frame-sequence        ---                      
eeer                1  WEAK        cool-cool-cool-input                 ---                      
loch                1  WEAK        frame-work-adjust-watch              ---                      
ikh                 1  LOCKED      iterate-heat-watch                   ---                      
cthe                1  PLAUSIBLE   adjust-transfer-watch-cool           ---                      
oina                1  WEAK        work-iterate-halt-yield              ---                      
dyta                1  SOLID       mark-end-transfer-yield              ---                      
lg                  1  WEAK        frame-complete                       ---                      
eytch               1  PLAUSIBLE   cool-end-transfer-adjust-watch       ---                      
aind                1  SOLID       yield-iterate-halt-mark              ---                      
yckh                1  PLAUSIBLE   end-adjust-heat-watch                ---                      
eecth               1  PLAUSIBLE   cool-cool-adjust-transfer-watch      ---                      
eold                1  WEAK        cool-work-frame-mark                 ---                      
lchck               1  WEAK        frame-adjust-watch-adjust-heat       ---                      
keey                1  LOCKED      heat-cool-cool-end                   ---                      
opcs                1  WEAK        work-pause-adjust-sequence           ---                      
ecthedc             1  PLAUSIBLE   cool-adjust-transfer-watch-cool-mark-adjust  ---                      
fsh                 1  PLAUSIBLE   flag-sequence-watch                  ---                      
cseckh              1  PLAUSIBLE   adjust-sequence-cool-adjust-heat-watch  ---                      
ealr                1  WEAK        cool-yield-frame-input               ---                      
eeet                1  SOLID       cool-cool-cool-transfer              ---                      
kyld                1  WEAK        heat-end-frame-mark                  ---                      
iry                 1  WEAK        iterate-input-end                    ---                      
tor                 1  WEAK        transfer-work-input                  ---                      
rold                1  WEAK        input-work-frame-mark                ---                      
rols                1  WEAK        input-work-frame-sequence            ---                      
lchk                1  WEAK        frame-adjust-watch-heat              ---                      
ldak                1  WEAK        frame-mark-yield-heat                ---                      
ola                 1  WEAK        work-frame-yield                     ---                      
arc                 1  WEAK        yield-input-adjust                   ---                      
lld                 1  WEAK        frame-frame-mark                     ---                      
kao                 1  WEAK        heat-yield-work                      ---                      
oysh                1  WEAK        work-end-sequence-watch              ---                      
lmy                 1  WEAK        frame-final-end                      ---                      
tchs                1  PLAUSIBLE   transfer-adjust-watch-sequence       ---                      
kolch               1  WEAK        heat-work-frame-adjust-watch         ---                      
ckhc                1  PLAUSIBLE   adjust-heat-watch-adjust             ---                      
cfhdor              1  WEAK        adjust-flag-watch-mark-work-input    ---                      
loke                1  WEAK        frame-work-heat-cool                 ---                      
pdsheo              1  WEAK        pause-mark-sequence-watch-cool-work  ---                      
efo                 1  WEAK        cool-flag-work                       ---                      
odeed               1  WEAK        work-mark-cool-cool-mark             ---                      
ltsh                1  WEAK        frame-transfer-sequence-watch        ---                      
ldo                 1  WEAK        frame-mark-work                      ---                      
tdct                1  PLAUSIBLE   transfer-mark-adjust-transfer        ---                      
efshoro             1  WEAK        cool-flag-sequence-watch-work-input-work  ---                      
opak                1  WEAK        work-pause-yield-heat                ---                      
oeesea              1  WEAK        work-cool-cool-sequence-cool-yield   ---                      
dx                  1  PLAUSIBLE   mark-diagram                         ---                      
cthi                1  PLAUSIBLE   adjust-transfer-watch-iterate        ---                      
edaii               1  SOLID       cool-mark-yield-iterate-iterate      ---                      
dair                1  WEAK        mark-yield-iterate-input             ---                      
rord                1  WEAK        input-work-input-mark                ---                      
etsh                1  PLAUSIBLE   cool-transfer-sequence-watch         ---                      
odeeed              1  WEAK        work-mark-cool-cool-cool-mark        ---                      
dyto                1  WEAK        mark-end-transfer-work               ---                      
kor                 1  WEAK        heat-work-input                      ---                      
opoee               1  WEAK        work-pause-work-cool-cool            ---                      
pchch               1  PLAUSIBLE   pause-adjust-watch-adjust-watch      ---                      
aiino               1  WEAK        yield-iterate-iterate-halt-work      ---                      
ockhd               1  WEAK        work-adjust-heat-watch-mark          ---                      
see                 1  PLAUSIBLE   sequence-cool-cool                   ---                      
oeor                1  WEAK        work-cool-work-input                 ---                      
okcod               1  WEAK        work-heat-adjust-work-mark           ---                      
ypsh                1  PLAUSIBLE   end-pause-sequence-watch             ---                      
odsheo              1  WEAK        work-mark-sequence-watch-cool-work   ---                      
oseeed              1  WEAK        work-sequence-cool-cool-cool-mark    ---                      
arorc               1  WEAK        yield-input-work-input-adjust        ---                      
opchs               1  WEAK        work-pause-adjust-watch-sequence     ---                      
etc                 1  PLAUSIBLE   cool-transfer-adjust                 ---                      
tes                 1  PLAUSIBLE   transfer-cool-sequence               ---                      
odeeeo              1  WEAK        work-mark-cool-cool-cool-work        ---                      
odarch              1  WEAK        work-mark-yield-input-adjust-watch   ---                      
edee                1  SOLID       cool-mark-cool-cool                  ---                      
sco                 1  WEAK        sequence-adjust-work                 ---                      
oep                 1  WEAK        work-cool-pause                      ---                      
oldy                1  WEAK        work-frame-mark-end                  ---                      
sod                 1  WEAK        sequence-work-mark                   ---                      
ycs                 1  PLAUSIBLE   end-adjust-sequence                  ---                      
archee              1  WEAK        yield-input-adjust-watch-cool-cool   ---                      
eeal                1  WEAK        cool-cool-yield-frame                ---                      
airolk              1  WEAK        yield-iterate-input-work-frame-heat  ---                      
holct               1  WEAK        watch-work-frame-adjust-transfer     ---                      
cpholk              1  WEAK        adjust-pause-watch-work-frame-heat   ---                      
ecf                 1  PLAUSIBLE   cool-adjust-flag                     ---                      
oif                 1  WEAK        work-iterate-flag                    ---                      
ecfh                1  PLAUSIBLE   cool-adjust-flag-watch               ---                      
kshed               1  PLAUSIBLE   heat-sequence-watch-cool-mark        ---                      
yteeod              1  WEAK        end-transfer-cool-cool-work-mark     ---                      
yts                 1  PLAUSIBLE   end-transfer-sequence                ---                      
okee                1  WEAK        work-heat-cool-cool                  ---                      
olkeod              1  WEAK        work-frame-heat-cool-work-mark       ---                      
rams                1  WEAK        input-yield-final-sequence           ---                      
dytsh               1  PLAUSIBLE   mark-end-transfer-sequence-watch     ---                      
dyts                1  PLAUSIBLE   mark-end-transfer-sequence           ---                      
pyd                 1  PLAUSIBLE   pause-end-mark                       ---                      
pa                  1  PLAUSIBLE   pause-yield                          ---                      
eeeykc              1  PLAUSIBLE   cool-cool-cool-end-heat-adjust       ---                      
octhai              1  WEAK        work-adjust-transfer-watch-yield-iterate  ---                      
orolk               1  WEAK        work-input-work-frame-heat           ---                      
aiod                1  WEAK        yield-iterate-work-mark              ---                      
fysh                1  PLAUSIBLE   flag-end-sequence-watch              ---                      
losai               1  WEAK        frame-work-sequence-yield-iterate    ---                      
raiiin              1  WEAK        input-yield-iterate-iterate-iterate-halt  ---                      
pches               1  PLAUSIBLE   pause-adjust-watch-cool-sequence     ---                      
amod                1  WEAK        yield-final-work-mark                ---                      
lkalyt              1  WEAK        frame-heat-yield-frame-end-transfer  ---                      
eeytyd              1  SOLID       cool-cool-end-transfer-end-mark      ---                      
ps                  1  PLAUSIBLE   pause-sequence                       ---                      
oeee                1  WEAK        work-cool-cool-cool                  ---                      
ytd                 1  SOLID       end-transfer-mark                    ---                      
odyteyt             1  WEAK        work-mark-end-transfer-cool-end-transfer  ---                      
keeea               1  LOCKED      heat-cool-cool-cool-yield            ---                      
olot                1  WEAK        work-frame-work-transfer             ---                      
ypshe               1  PLAUSIBLE   end-pause-sequence-watch-cool        ---                      
iinl                1  WEAK        iterate-iterate-halt-frame           ---                      
pcheeo              1  WEAK        pause-adjust-watch-cool-cool-work    ---                      
eeedc               1  PLAUSIBLE   cool-cool-cool-mark-adjust           ---                      
cfhy                1  PLAUSIBLE   adjust-flag-watch-end                ---                      
acheo               1  WEAK        yield-adjust-watch-cool-work         ---                      
eeeoc               1  WEAK        cool-cool-cool-work-adjust           ---                      
opaii               1  WEAK        work-pause-yield-iterate-iterate     ---                      
oxockh              1  WEAK        work-diagram-work-adjust-heat-watch  ---                      
dytch               1  PLAUSIBLE   mark-end-transfer-adjust-watch       ---                      
opchaik             1  WEAK        work-pause-adjust-watch-yield-iterate-heat  ---                      
lfc                 1  WEAK        frame-flag-adjust                    ---                      
ckhyfc              1  PLAUSIBLE   adjust-heat-watch-end-flag-adjust    ---                      
edyted              1  SOLID       cool-mark-end-transfer-cool-mark     ---                      
eky                 1  LOCKED      cool-heat-end                        ---                      
hoep                1  WEAK        watch-work-cool-pause                ---                      
oeks                1  WEAK        work-cool-heat-sequence              ---                      
oyf                 1  WEAK        work-end-flag                        ---                      
fshed               1  PLAUSIBLE   flag-sequence-watch-cool-mark        ---                      
akar                1  WEAK        yield-heat-yield-input               ---                      
echypc              1  PLAUSIBLE   cool-adjust-watch-end-pause-adjust   ---                      
cphh                1  PLAUSIBLE   adjust-pause-watch-watch             ---                      
lok                 1  WEAK        frame-work-heat                      ---                      
keal                1  WEAK        heat-cool-yield-frame                ---                      
adch                1  PLAUSIBLE   yield-mark-adjust-watch              ---                      
ofcho               1  WEAK        work-flag-adjust-watch-work          ---                      
eedar               1  WEAK        cool-cool-mark-yield-input           ---                      
ikhyk               1  LOCKED      iterate-heat-watch-end-heat          ---                      
efh                 1  PLAUSIBLE   cool-flag-watch                      ---                      
kechc               1  PLAUSIBLE   heat-cool-adjust-watch-adjust        ---                      
olkch               1  WEAK        work-frame-heat-adjust-watch         ---                      
eeyks               1  PLAUSIBLE   cool-cool-end-heat-sequence          ---                      
eedal               1  WEAK        cool-cool-mark-yield-frame           ---                      
keodai              1  WEAK        heat-cool-work-mark-yield-iterate    ---                      
etsho               1  WEAK        cool-transfer-sequence-watch-work    ---                      
eols                1  WEAK        cool-work-frame-sequence             ---                      
opcheal             1  WEAK        work-pause-adjust-watch-cool-yield-frame  ---                      
leees               1  WEAK        frame-cool-cool-cool-sequence        ---                      
eos                 1  WEAK        cool-work-sequence                   ---                      
eedak               1  SOLID       cool-cool-mark-yield-heat            ---                      
ekee                1  LOCKED      cool-heat-cool-cool                  ---                      
eeylch              1  WEAK        cool-cool-end-frame-adjust-watch     ---                      
ary                 1  WEAK        yield-input-end                      ---                      
keshe               1  PLAUSIBLE   heat-cool-sequence-watch-cool        ---                      
osai                1  WEAK        work-sequence-yield-iterate          ---                      
edar                1  WEAK        cool-mark-yield-input                ---                      
edacp               1  PLAUSIBLE   cool-mark-yield-adjust-pause         ---                      
kecho               1  WEAK        heat-cool-adjust-watch-work          ---                      
eocka               1  WEAK        cool-work-adjust-heat-yield          ---                      
odc                 1  WEAK        work-mark-adjust                     ---                      
teode               1  WEAK        transfer-cool-work-mark-cool         ---                      
ocheoith            1  WEAK        work-adjust-watch-cool-work-iterate-transfer-watch  ---                      
ctheo               1  WEAK        adjust-transfer-watch-cool-work      ---                      
yteo                1  WEAK        end-transfer-cool-work               ---                      
eeokeo              1  WEAK        cool-cool-work-heat-cool-work        ---                      
alkee               1  WEAK        yield-frame-heat-cool-cool           ---                      
eckhd               1  PLAUSIBLE   cool-adjust-heat-watch-mark          ---                      
ais                 1  PLAUSIBLE   yield-iterate-sequence               ---                      
par                 1  WEAK        pause-yield-input                    ---                      
opcheocf            1  WEAK        work-pause-adjust-watch-cool-work-adjust-flag  ---                      
echs                1  PLAUSIBLE   cool-adjust-watch-sequence           ---                      
olx                 1  WEAK        work-frame-diagram                   ---                      
ti                  1  SOLID       transfer-iterate                     ---                      
ofaiino             1  WEAK        work-flag-yield-iterate-iterate-halt-work  ---                      
kam                 1  LOCKED      heat-yield-final                     ---                      
oeeod               1  WEAK        work-cool-cool-work-mark             ---                      
eodal               1  WEAK        cool-work-mark-yield-frame           ---                      
odl                 1  WEAK        work-mark-frame                      ---                      
lchec               1  WEAK        frame-adjust-watch-cool-adjust       ---                      
eeta                1  SOLID       cool-cool-transfer-yield             ---                      
ind                 1  SOLID       iterate-halt-mark                    ---                      
keoc                1  WEAK        heat-cool-work-adjust                ---                      
olkc                1  WEAK        work-frame-heat-adjust               ---                      
olksh               1  WEAK        work-frame-heat-sequence-watch       ---                      
eokcheo             1  WEAK        cool-work-heat-adjust-watch-cool-work  ---                      
aiiinro             1  WEAK        yield-iterate-iterate-iterate-halt-input-work  ---                      
cfheo               1  WEAK        adjust-flag-watch-cool-work          ---                      
kcheod              1  WEAK        heat-adjust-watch-cool-work-mark     ---                      
oefch               1  WEAK        work-cool-flag-adjust-watch          ---                      
roii                1  WEAK        input-work-iterate-iterate           ---                      
teod                1  WEAK        transfer-cool-work-mark              ---                      
rais                1  WEAK        input-yield-iterate-sequence         ---                      
eeeod               1  WEAK        cool-cool-cool-work-mark             ---                      
aiisock             1  WEAK        yield-iterate-iterate-sequence-work-adjust-heat  ---                      
aiiro               1  WEAK        yield-iterate-iterate-input-work     ---                      
oes                 1  WEAK        work-cool-sequence                   ---                      
oeeolc              1  WEAK        work-cool-cool-work-frame-adjust     ---                      
yaii                1  LOCKED      end-yield-iterate-iterate            ---                      
dll                 1  WEAK        mark-frame-frame                     ---                      
oekeo               1  WEAK        work-cool-heat-cool-work             ---                      
eedd                1  SOLID       cool-cool-mark-mark                  ---                      
eoked               1  WEAK        cool-work-heat-cool-mark             ---                      
eeyte               1  SOLID       cool-cool-end-transfer-cool          ---                      
kchoke              1  WEAK        heat-adjust-watch-work-heat-cool     ---                      
aeeod               1  WEAK        yield-cool-cool-work-mark            ---                      
paiik               1  PLAUSIBLE   pause-yield-iterate-iterate-heat     ---                      
eodk                1  WEAK        cool-work-mark-heat                  ---                      
iiil                1  WEAK        iterate-iterate-iterate-frame        ---                      
airol               1  WEAK        yield-iterate-input-work-frame       ---                      
aiil                1  WEAK        yield-iterate-iterate-frame          ---                      
eolka               1  WEAK        cool-work-frame-heat-yield           ---                      
cphees              1  PLAUSIBLE   adjust-pause-watch-cool-cool-sequence  ---                      
eolte               1  WEAK        cool-work-frame-transfer-cool        ---                      
iii                 1  LOCKED      iterate-iterate-iterate              ---                      
pchesd              1  PLAUSIBLE   pause-adjust-watch-cool-sequence-mark  ---                      
opchedd             1  WEAK        work-pause-adjust-watch-cool-mark-mark  ---                      
ook                 1  WEAK        work-work-heat                       ---                      
roee                1  WEAK        input-work-cool-cool                 ---                      
ckhoda              1  WEAK        adjust-heat-watch-work-mark-yield    ---                      
ckhdd               1  PLAUSIBLE   adjust-heat-watch-mark-mark          ---                      
iish                1  PLAUSIBLE   iterate-iterate-sequence-watch       ---                      
ord                 1  WEAK        work-input-mark                      ---                      
cphe                1  PLAUSIBLE   adjust-pause-watch-cool              ---                      
iiiolk              1  WEAK        iterate-iterate-iterate-work-frame-heat  ---                      
pchsd               1  PLAUSIBLE   pause-adjust-watch-sequence-mark     ---                      
aix                 1  PLAUSIBLE   yield-iterate-diagram                ---                      
lpa                 1  WEAK        frame-pause-yield                    ---                      
eotd                1  WEAK        cool-work-transfer-mark              ---                      
ekeeykeo            1  WEAK        cool-heat-cool-cool-end-heat-cool-work  ---                      
edyp                1  PLAUSIBLE   cool-mark-end-pause                  ---                      
fo                  1  WEAK        flag-work                            ---                      
ofaii               1  WEAK        work-flag-yield-iterate-iterate      ---                      
oeeeod              1  WEAK        work-cool-cool-cool-work-mark        ---                      
eeodee              1  WEAK        cool-cool-work-mark-cool-cool        ---                      
eoe                 1  WEAK        cool-work-cool                       ---                      
aiilo               1  WEAK        yield-iterate-iterate-frame-work     ---                      
oald                1  WEAK        work-yield-frame-mark                ---                      
opair               1  WEAK        work-pause-yield-iterate-input       ---                      
aiic                1  PLAUSIBLE   yield-iterate-iterate-adjust         ---                      
aiphh               1  PLAUSIBLE   yield-iterate-pause-watch-watch      ---                      
eedeo               1  WEAK        cool-cool-mark-cool-work             ---                      
tedai               1  SOLID       transfer-cool-mark-yield-iterate     ---                      
aporai              1  WEAK        yield-pause-work-input-yield-iterate  ---                      
ishd                1  PLAUSIBLE   iterate-sequence-watch-mark          ---                      
dyda                1  SOLID       mark-end-mark-yield                  ---                      
leeo                1  WEAK        frame-cool-cool-work                 ---                      
kchsd               1  PLAUSIBLE   heat-adjust-watch-sequence-mark      ---                      
rarc                1  WEAK        input-yield-input-adjust             ---                      
teedo               1  WEAK        transfer-cool-cool-mark-work         ---                      
tok                 1  WEAK        transfer-work-heat                   ---                      
eeolch              1  WEAK        cool-cool-work-frame-adjust-watch    ---                      
eopc                1  WEAK        cool-work-pause-adjust               ---                      
tolc                1  WEAK        transfer-work-frame-adjust           ---                      
